county,state,pct_lead,winner,latitude,longitude
monmouth,new jersey,0.0946,Trump,40.4414,-74.1306
mono,california,0.1137,Clinton,38.6415,-119.5122
monona,iowa,0.4135,Trump,42.198,-95.9769
monongalia,west virginia,0.1038,Trump,39.7142,-80.2265
monroe,wisconsin,0.2639,Clinton,44.157,-90.4967
montague,texas,0.7718,Trump,33.8164,-97.944
montcalm,michigan,0.3402,Trump,43.4337,-85.1416
monterey,california,0.3924,Clinton,36.8769,-121.6324
montezuma,colorado,0.3031,Trump,37.5888,-108.8095
montgomery,virginia,0.0016,Clinton,37.271,-79.9414
montmorency,michigan,0.4417,Trump,45.0691,-83.9468
montour,pennsylvania,0.2839,Trump,41.0518,-76.6747
montrose,colorado,0.4207,Trump,38.5976,-107.9921
moody,south dakota,0.2345,Trump,44.0658,-96.6222
moore,texas,0.4564,Trump,36.0412,-102.0007
mora,new mexico,0.3578,Clinton,36.1388,-105.3854
morgan,west virginia,0.4934,Trump,39.5836,-78.3331
morrill,nebraska,0.6953,Trump,41.8934,-103.085
morris,texas,0.2371,Trump,33.1912,-94.6891
morrison,minnesota,0.5297,Trump,46.2881,-94.5638
morrow,oregon,0.4725,Trump,45.8877,-119.507
morton,north dakota,0.5302,Trump,46.8936,-102.0367
moultrie,illinois,0.4795,Trump,39.7192,-88.6417
mountrail,north dakota,0.3342,Trump,48.3458,-102.4185
mower,minnesota,0.0785,Trump,43.809,-92.7595
muhlenberg,kentucky,0.4688,Trump,37.343,-87.233
multnomah,oregon,0.5834,Clinton,45.6401,-122.838
murray,oklahoma,0.5534,Trump,34.5116,-96.9797
muscatine,iowa,0.0663,Trump,41.5914,-90.8588
muscogee,georgia,0.186,Clinton,32.6288,-85.0017
muskegon,michigan,0.0088,Clinton,43.4415,-86.1509
muskingum,ohio,0.3496,Trump,40.1412,-82.0099
muskogee,oklahoma,0.2918,Trump,35.8108,-95.684
musselshell,montana,0.6766,Trump,46.5986,-107.8692
nacogdoches,texas,0.3535,Trump,31.8254,-94.9189
nantucket,massachusetts,0.3517,Clinton,41.2778,-70.046
napa,california,0.3526,Clinton,38.6493,-122.4453
nash,north carolina,0.0025,Trump,36.0901,-78.0705
nassau,new york,0.2229,Clinton,40.9074,-73.5601
natrona,wyoming,0.5216,Trump,43.4114,-106.28
navajo,arizona,0.0792,Trump,36.6883,-110.2652
navarro,texas,0.4875,Trump,32.2954,-96.3887
nelson,virginia,0.2006,Trump,37.9626,-78.841
nemaha,nebraska,0.5571,Trump,40.5199,-95.8674
neosho,kansas,0.4676,Trump,37.6811,-95.1388
neshoba,mississippi,0.4738,Trump,32.7572,-89.1154
nevada,california,0.1299,Clinton,39.3928,-120.0212
new castle,delaware,0.296,Clinton,39.8188,-75.5064
new hanover,north carolina,0.0409,Trump,34.3405,-77.9014
new haven,connecticut,0.1203,Clinton,41.597,-72.9828
new kent,virginia,0.3759,Trump,37.553,-77.0742
new london,connecticut,0.0672,Clinton,41.6445,-72.0677
new madrid,missouri,0.4539,Trump,36.8504,-89.6847
new york,new york,0.772,Clinton,40.8662,-73.9221
newaygo,michigan,0.3965,Trump,43.7321,-85.8778
newberry,south carolina,0.2262,Trump,34.4955,-81.606
newport,rhode island,0.1936,Clinton,41.6338,-71.1808
newport news (city),virginia,0.2535,Clinton,37.1989,-76.5821
newton,texas,0.2741,Clinton,31.0414,-93.8039
nez perce,idaho,0.3414,Trump,46.4807,-116.4114
niagara,new york,0.19,Trump,43.3368,-78.542
nicholas,west virginia,0.4868,Trump,38.4914,-80.7459
nicollet,minnesota,0.0307,Trump,44.4073,-94.4365
noble,oklahoma,0.5301,Trump,36.5609,-97.1512
nobles,minnesota,0.2986,Trump,43.8404,-96.0128
nodaway,missouri,0.4079,Trump,40.5483,-94.8189
nolan,texas,0.5316,Trump,32.4726,-100.3979
norfolk,massachusetts,0.2794,Clinton,42.3431,-71.123
norfolk (city),virginia,0.4198,Clinton,36.9442,-76.252
norman,minnesota,0.1346,Trump,47.4554,-96.7838
northampton,virginia,0.1263,Clinton,37.5349,-75.8769
northumberland,virginia,0.3521,Trump,37.9792,-76.5018
norton,kansas,0.6991,Trump,39.8891,-99.7042
nottoway,virginia,0.1314,Trump,37.1952,-78.1961
nowata,oklahoma,0.6087,Trump,36.9837,-95.6065
noxubee,mississippi,0.5686,Clinton,33.2346,-88.5823
nuckolls,nebraska,0.6322,Trump,40.2767,-98.2402
nueces,texas,0.0154,Trump,27.8458,-97.596
